ablation,pairs,mean_selectivity_change,selectivity_effect_size,mean_identity_change,mean_behavior_change,recall_survival_change
ExcitabilityAllocation,8,8.366048870792064E-06,0.7683632006348418,-0.16005552418595898,-8.042321555240539E-07,0
RecurrentCompletion,8,0.06311335402570929,1.5724825179334851,0,-0.00017146639330235802,-1
RecallInhibition,8,-4.360381095559751E-05,-9.051215961235153,0,1.1293224651279243E-05,0
InhibitoryPlasticity,8,-4.159242563900323E-05,-10.113165824745094,0,7.157636666699219E-08,0
Consolidation,8,3.098066815439282E-05,3.6655579976308514,-0.034632034632034625,-2.4793962153352167E-05,0
PopulationDrift,8,3.638583623427616E-07,0.0722920645243858,0.05952380952380952,-8.528324579870628E-08,0
