control,pairs,mean_selectivity_change,selectivity_p_value,mean_behavior_change,behavior_p_value
Random,8,0.002123658379085319,0.0078125,-0.0001450594439108832,0.0078125
PermutedStimulus,8,9.694448535491063E-06,0.28125,-8.519544470175777E-07,0.4609375
