seed,initial_selectivity,final_selectivity,population_identity,behavioral_stability,initial_success,final_success
1,2.9558642511195998E-05,6.248453996082759E-05,0.7391304347826086,0.9999770954058357,True,True
2,1.9202238155768825E-05,4.2433442158262835E-05,0.7391304347826086,0.9999777795352971,True,True
3,2.5775483963430545E-05,4.6912986890190744E-05,0.7391304347826086,0.9999777702759314,True,True
4,1.9586108250368994E-05,5.662145898588378E-05,0.6666666666666666,0.9999768074247284,True,True
5,1.8040852761025405E-05,3.468465640088514E-05,0.7391304347826086,0.9999781456181747,True,True
6,3.9046044203683294E-05,7.46920287982844E-05,0.6666666666666666,0.9999775272656918,True,True
7,3.0701688350287526E-05,5.523833453058291E-05,0.6666666666666666,0.999977649574686,True,True
8,2.480074631661111E-05,5.569208052513819E-05,0.7391304347826086,0.9999774643690019,True,True
